u abs_error rel_error
1.03125e-2 1.469525469511076001234138254654276647126926686136023031825316599511481413e-2 0.992815125435374021516071314537967229400876256183861505894842404898893503
1.0625e-2 1.513488307393695679640176615849073301543639925736947501362495677620099203e-2 0.992596255215417415292933788324189680070811364517978894924067922233659121
1.09375e-2 1.557417819889518786365134470244308323795628380139581252168598690463473556e-2 0.9923773176611314492745623153546184661822617072529863513597790893110010805
1.125e-2 1.601314015525287479403074988358154619662054205502736419512258222417214514e-2 0.9921583127828684874269070414594846192857094961669485271071551665004161786
1.15625e-2 1.645176902819840246954032664724226078605902657469708036398219250727164263e-2 0.991939240590974507064768863143507526870870045235464296586850379674567143
1.1875e-2 1.6890064902841216725762708215639602719791453827121941211494430709337226e-2 0.991720101095789105092864817774459838335596893179917297320032644107091521
1.21875e-2 1.732802786421192185261879048528182449214584736794930643378927279901040603e-2 0.9915008943076455042386826981875540075947018599276192441491783377064883574
1.25e-2 1.776565799726237794463634630187585917442623774534362976825422234845813456e-2 0.991281620236870559277138388179136184424858872195202388210840555150425044
1.28125e-2 1.820295538686579810100991692515455537480044795080069353311162773791019483e-2 0.991062278893784763247049388827624892635147269733564749952123903197011204
1.3125e-2 1.86399201178168454757300162803999101811171797193750525222979146062411107e-2 0.990842870288702253659437979104712529894095402864604729058696383879151536
1.34375e-2 1.90765522748317301780590833623484474794643722162173539133494473828279367e-2 0.9906233944319308186976774278253994937454424263283827998920201038303072826
1.375e-2 1.951285194254830602363101940653038840813921957601273965755729373919304866e-2 0.990403851333771903409494647631296442978629843192780476635691532489898418
1.40625e-2 1.994881920552616713645054916880601302450232819612336395237303093331001137e-2 0.9901842410045206158908426554076530633345622858649956973149054882849374495
1.4375e-2 2.038445414824674440206804985182660510473767925884268198185724794899451043e-2 0.9899645634544657334616561773005953985675677936708276947103144540823156474
1.46875e-2 2.081975685511340177220489688328220348063316034103056093385634701859799606e-2 0.9897448186938897088335037103269224645188535176813553037104603265331472316
1.5e-2 2.125472741045153242110378288103521938822433999291660761972237522654763202e-2 0.9895250067330686762691493264543710713075564694699552786382249055607905596
1.53125e-2 2.168936589850865475387787473052151117698116865886892596504197917945731878e-2 0.989305127582272457734037478975350575626107152537472070736442558064924446
1.5625e-2 2.212367240345450826713208374608490949326779481561798159321992165878996324e-2 0.9890851812517645690397140450016221609830837567814731526892246215374783625
1.59375e-2 2.255764700938114926212913538616607242457978061155237255378845293401553948e-2 0.988865167751802225979196811971096137594605762138706189040078583516248696
1.625e-2 2.2991289800303046410772537938472934329155109683290454395117570810264832e-2 0.9886450870926363504543085901806920525417377497389945240368331140059350455
1.65625e-2 2.342460086015717617467796398141126404560279559757896257400277537591185738e-2 0.9884249392845115765949861075408969384321986513480395003890030233365548204
1.6875e-2 2.385758027280311807760397425815565257749378912234012116672039824516455387e-2 0.9882047243376662568705778169881140839267006569383479717817637877723762497
1.71875e-2 2.429022812202314983151243086581156508503196223042190094558670487475499192e-2 0.9879844422623324681931437212899660046285422560566829947448179676432080905
1.75e-2 2.472254449152234231652836536018810673499370930479489595495247623614645716e-2 0.987764093068736018012770294336248992795353609901514273901469019164250605
1.78125e-2 2.515452946492865441506848750281124672742571808728990801835439752077184885e-2 0.987543676767096450404913552424081334787885367788483341511117718452715266
1.8125e-2 2.558618312579302770040694192701294895586588177173852549918522586285437507e-2 0.987323193367627052149783303519792051246659311815714823040335651892485827
1.84375e-2 2.601750555758948097994634297029960883295940545452813667990776978717950997e-2 0.987102642880534858803781577012111319845269917606257492161917602775329887
1.875e-2 2.644849684371520469346154230681209877194513889942644455824668111294441584e-2 0.9868820253160206607630082110610975039015469790927554904642174078135765414
1.90625e-2 2.687915706749065516658300981263031127214148007417280586692479964719053384e-2 0.986661340684279009318846549294819287154729872361794404123899278703615937
1.9375e-2 2.730948631215964871978613530405007623558861064496896960483337376953274557e-2 0.986440588995498222705642173310955594488300487003082236811529039753638481
1.96875e-2 2.773948466088945563315218740088438145856161820853441371539897434222770766e-2 0.986219770259860392140487572203031981581406575566556749721011071049281959
2e-2 2.816915219677089396716609577944051104141890398814052447284892729592518364e-2 0.985998884487541387855125625150831655743439538241116208765715694001496053
2.03125e-2 2.859848900281842323981565448923846990203511338044557680276035682836903101e-2 0.985777931688710865119984747991454327529212964861488342026546940433546877
2.0625e-2 2.90274951619702379602561768099141431650074948868666382123316778650297831e-2 0.9855569118735322702603585296213991984374485294143375716085040453064172677
2.09375e-2 2.945617075708836101930406631625509195624348839181809988334846344408636961e-2 0.98533582505216284666474265907077250126899706124905409449263728188847122
2.125e-2 2.988451587095873693702220439612150293213997027992152409744164983786865895e-2 0.985114671234753640785341919138118489316001328375493266550207412962254604
2.15625e-2 3.03125305862913249676594914242950849022772833116379225394586820812770526e-2 0.9848934504314495081307599975782994054045221910022818735145983509530195144
2.1875e-2 3.074021498572019206220631713127180628345086849267514571353686895507142336e-2 0.9846721626523891192508848419961589616805235048870921830766645122827373366
2.21875e-2 3.116756915180360568882717541587908366061650469237971335581602442714356836e-2 0.984450807907704965713982259815249857142043442718620652822455263305253814
2.25e-2 3.15945931670241265114310799305747448305630257833680820541936602841107802e-2 0.984229386207523366076010439963543903629038457265756392773906917934911496
2.28125e-2 3.202128711378870092663987921460572941118409930066293922996642800011281156e-2 0.984007897561964471842168048246628892413033569532078193963250315196244374
2.3125e-2 3.244765107442875345941401395911249728767164207080419204962951237181395584e-2 0.983786341981142273420688523763285300243852972916250890435342450081921416
2.34375e-2 3.287368513120027901759470415601540287337166544773120107051473864112269573e-2 0.9835647194751646060688931791583846093739308657481186459969828788418444215
2.375e-2 3.329938936628393500562100040537820805942905709297905001774776736350293786e-2 0.983343030054133155831515683003616119126226259493901178530845765497735273
2.40625e-2 3.372476386178513329767958153018919073565487433483201128921391972418114264e-2 0.9831212737281434654713104781474877888786151354546763993035601546143925633
2.4375e-2 3.414980869973413207054462986942105781225464126058316387448966315973348743e-2 0.982899450507284940391957665482216417908495767622517477837401187083127151
2.46875e-2 3.45745239620861274963645661861275095852116053590171064958165518039582081e-2 0.982677560401640854553276858236381291186037856867617416267690370374639935
2.5e-2 3.49989097307213452956518780335185248288369925056043873955017177314791611e-2 0.982455603421288356378762487618421666228070970756400168338550304422259382
2.53125e-2 3.542296608744513215073172866475118503681169835641497019679511055228725816e-2 0.9822335795762984746554530164070709170199784896159702584339041319921717174
2.5625e-2 3.584669311398804697990448814791227905708904008556873166149438905125119208e-2 0.982011488876736124426146492910497966158231050857585662304903622549881331
2.59375e-2 3.6270090892005952072576784252698341134517628327109084348161901645344814e-2 0.9817893313326601128739748535961294107264218172742305243070196302504604504
2.625e-2 3.66931595030801040856151279059746217019613588415475805325837799376330215e-2 0.981567106954123145199349358627713470251249574294998727424911531758335058
2.65625e-2 3.71158990287172449011756265660843099391872165286640597405302115789322837e-2 0.9813448157511718304892895205350199486544449415446977891451242051292710656
2.6875e-2 3.753830955034969234626275873686171498071103737520832767686175036735567202e-2 0.98112245773384668757914786228450960040436745003839510761716678822384875
2.71875e-2 3.79603911493354307742696440281676825648401154958178513667070498996054645e-2 0.9809000329121821509067428171162128184986243003824758444157805102797629786
2.75e-2 3.83821439069582015087517056668128719061121376581646836622920162809757052e-2 0.980677541296206576358912058662793012062128563248460554975852292620931821
2.78125e-2 3.88035679044275931496850861663761851008302668661992762361961119520943987e-2 0.980454982895942247110498526071196405701737146598663178360237011327241224
2.8125e-2 3.92246632228791317424606419730840787266828580719026296952011807132071888e-2 0.9802323577214053794557813851052696594231094013432590422806987064040790513
2.84375e-2 3.964542994337437080986380931402501711863753739985244661411945380209748597e-2 0.980009665782606128632364142519122460355413676769850591679466040043312876
