x abs_error rel_error
6.25e-4 2.25875451498239288562430243639459909011791888938712440496332321364616488e-27 3.61400745925876798371017631717339980499387146766732446001518872105391758e-24
1.25e-3 1.807003585516163834303923605879307923640277792513706110540420489378215805e-26 1.445603244872080008675093206860001591011995636198637992410570302889989143e-23
1.875e-3 6.09863695222696803356590334510806121485531941351091565625516859971696609e-26 3.25260828034587887476360430394634574072619764555688072441616029428942463e-23
2.5e-3 1.445602783715586883010517458799971637751708347263264923500555447074009557e-25 5.782417158211671705561511499984523937394133891866085891003587390320040037e-23
3.125e-3 2.82344281292528447300252411784891199944006262274622669955405427650514724e-25 9.03503170680898188494932984670194368058508767677070253654771406009760648e-23
3.75e-3 4.878908919080568995704956964836899457190792834556268126616839006529464333e-25 1.301045427744562285760845217512551332783391328761855106637820259442852683e-22
4.375e-3 7.747526173378586050157511937193106996302110158977962172255741348244839906e-25 1.770868774594126752152503368385567538028356633145310855119734423185564112e-22
5e-3 1.156481957140407963494858957024814270578160911549302699576427158655407618e-24 2.312973551658567774277896808442787745413898682104284265777151031586190379e-22
5.625e-3 1.646631402675361660378978390387494090845834212946700804854045196756280769e-24 2.927360153093694753689583571702153960493481404027020627403641921243298393e-22
6.25e-3 2.258753437344519617293692896908509565151804791349346970890383832476777785e-24 3.614029028540097899496039028902347237068497880005375748756280261327157875e-22
6.875e-3 3.006400538507581718065837222988925844229495555013553949562019959666926743e-24 4.372980686358673719127617337298598980712304634946865877802047986071904774e-22
7.5e-3 3.90312518236917899545184237584264376654729490231061871653972388322871978e-24 5.204215699210531745316727961335035453457977556809871875826646810466508825e-22
8.125e-3 4.962479853841357345442489310709257531810393252181728837515212302953797123e-24 6.10773471318572089876329376899514071275042970738364947803925962792732313e-22
8.75e-3 6.198017064352027981682758193138416718250584257543700456970091215580681885e-24 7.083538462101406223697443384562781056833220609649309025538508714281935547e-22
9.375e-3 7.62328938185171479235034663265883123739042056681045539990842520022979738e-24 8.13162778909314792605641308114231513229983760863569624930460845970734215e-22
1e-2 9.25184947893075177370454873222490122278369577362129919414067468236320705e-24 9.25200367822105698718171293002251325115318359944678808914244009001119677e-22
1.0625e-2 1.10972502070651252404927177999144686441482263452141168546750778680868207e-23 1.044466729951409820157632606167623406631948570069853276008561460241364616e-21
1.125e-2 1.317304470763531117292560205655726439804503241400139916835344082153033335e-23 1.170962007168895623130316272685170284898224762145324665967427693769957257e-21
1.1875e-2 1.549278657358830761097803440613538953225535733507323606329869771650766425e-23 1.304686374771294804058965654909387307101141885619901664958651678651679383e-21
1.25e-2 1.807003007952386931475598895931604486036727016614391065771196446785629584e-23 1.445640052944173172161149111413725398237138679550821071900951474145329254e-21
1.3125e-2 2.091833050267266491415253169752143386720491016470235677218949476471565917e-23 1.593823321876030415507542105844409784506970372724206661383457036177312694e-21
1.375e-2 2.405124456279332745016422442420580644947925281352845587677947728970725712e-23 1.749236541399827620364678206137681897511090734090543786044738332710271454e-21
1.4375e-2 2.748233101554947354309264952158954290164551448485664323206459137806217732e-23 1.911880176188594344513901634202361143201087531998605722473938564689590735e-21
1.5e-2 3.122515144154472434934831511634847647307061021257068028990521161482990144e-23 2.08175482769745133129075888995897162467102920036633433729823148944188041e-21
1.5625e-2 3.529327128200725684735305554530755224093186522367213015633430198967236044e-23 2.258861274227028775323844080848306968113604752271174864819135512192922876e-21
1.625e-2 3.970026118224481455705255653962316822019597807783954108506953171658181937e-23 2.44320052068369173652565272692058098596869449680016672240725854865748065e-21
1.6875e-2 4.445969871556146410742880173387814765056686487906196532171213654198996507e-23 2.634773859831032315940818460706466378934160483840372336319004181715633076e-21
1.75e-2 4.958517057346943346159638347919963380947189571111019510174888546212700975e-23 2.833582947065581179559424241969883841679631525144636643503021603485920191e-21
1.8125e-2 5.50902753228795281567889158132381547810749203617599769928538648245498174e-23 3.039629891008457728801746233054008153506207921431525569062014752795273113e-21
1.875e-2 6.09886268476539963584745465278675198573304028608029372614719795265089635e-23 3.252917362484547621247534231296732742975002469951058819257303428752306875e-21
1.9375e-2 6.729385861060408822462636902526409779161876532694660840692541415279323734e-23 3.473448724762597568863978130903594266906948972123469726213630484358629057e-21
2e-2 7.40196288928643999496901829991186937871966864548091494627061744833637342e-23 3.701228188254179691253603295528315737782081635244379663268305325662791356e-21
2.0625e-2 8.11796271907365613311973790604138746721648792958933901927268241367927059e-23 3.93626099321763067414627119930448953155443649002818081949877379162489262e-21
2.125e-2 8.87875819757307546375372886948454673057268152910788705257067920167312498e-23 4.178553624385644269280124618766707413459826879536775394075248976841621987e-21
