x abs_error
9.42477796076937971538793014983850865259150819812531746292483e-2 1.31042985093170949002225242976983177106185426615888043767348e-11
0.10995574287564276334619251841478260094690092897812870373412305 3.854978478966380960805538952782846735488900716485902609151046e-11
0.1256637061435917295385057353311801153678867759750042328389978 9.81619695236886790265401436078623224601181201662710463469044e-11
0.1413716694115406957308189522475776297888726229718797619438725 2.238647020383495172296171371309881065092462222909610791960213e-10
0.1570796326794896619231321691639751442098584699687552910487473 4.68015008329822298188405210942804093487728738499099105400376e-10
0.172787595947438628115445386080372658630844316965630820153622 9.11963224887462924990626169000191639548826317128667506205368e-10
0.1884955592153875943077586029967701730518301639625063492584966 1.676729578862707863770752134948653894155071569048001038735376e-9
0.2042035224833365605000718199131676874728160109593818783633714 2.936030535853232602183686540962786602169604204520156413075821e-9
0.2199114857512855266923850368295652018938018579562574074682461 4.93188765680268815495264772602369288635262720313452219002234e-9
0.2356194490192344928846982537459627163147877049531329365731208 7.9930510683208544835301007338537245171911655732836636059803e-9
0.2513274122871834590770114706623602307357735519500084656779956 1.2556468956265304173692892529342577209626129323552945129838345e-8
0.2670353755551324252693246875787577451567593989468839947828704 1.919203374086500856167295833306957612934453265105731594311819e-8
0.282743338823081391461637904495155259577745245943759523887745 2.863083478319417806349906701492295294833644160380161926852532e-8
0.2984513020910303576539511214115527739987310929406350529926198 4.17971466076204871468173098121475510693723672506439104944439e-8
0.3141592653589793238462643383279502884197169399375105820974946 5.984438070316916343040978461665973149366586730599662551589794e-8
0.329867228626928290038577555244347802840702786934386111202369 8.41952279887906312115662516669953373772986835532210982021822e-8
0.345575191894877256230890772160745317261688633931261640307244 1.1658621799353578776942718671967031589864151102612332833913725e-7
0.3612831551628262224232039890771428316826744809281371694121187 1.591169197128846760578289012725539692985429355921610723003383e-7
0.3769911184307751886155172059935403461036603279250126985169932 2.143040079572101814417993049201939249125833669437295295799695e-7
0.392699081698724154807830422909937860524646174921888227621868 2.851404178078709997362693078866231119790902872525592345536024e-7
0.408407044966673121000143639826335374945632021918763756726743 3.751598085410137012716141463149050601490051993443081931256826e-7
0.4241150082346220871924568567427328893666178689156392858316174 4.885065570691320057619120712630247780639114693596071164793536e-7
0.4398229715025710533847700736591304037876037159125148149364922 6.300114995861056161103094683289948293598151929173104208014604e-7
0.455530934770520019577083290575527918208589562909390344041367 8.052736386831577629196856941489738285264012598715963117618585e-7
0.4712388980384689857693965074919254326295754099062658731462415 1.020748031731279925542394071560440001797329847021787929012275e-6
0.4869468613064179519617097244083229470505612569031414022511164 1.283840074800537187002598793436152633654776146153843102848461e-6
0.502654824574366918154022941324720461471547103900016931355991 1.603006394808664653300893383010097036536581754882061778016187e-6
0.518362787842315884346336158241117975892532950896892460460866 1.987862560960883671098177486356930032442992809379758568622203e-6
